название;url;genre;подписки;просмотры;количество авторов
Zombie Ship;https://www.webtoons.com/en/horror/zombie-ship/list?title_no=3350;Horror;134351;2800000;3
Noblesse: Rai's Adventure;https://www.webtoons.com/en/action/noblesse-spin-off/list?title_no=608;Action;403632;7900000;2
Once a Hero;https://www.webtoons.com/en/fantasy/once-a-hero/list?title_no=3211;Fantasy;224963;4600000;1
Eternals: The 500 Year War;https://www.webtoons.com/en/super-hero/eternals-500-year-war/list?title_no=3916;Superhero;172415;1000000;1
Cape of Spirits;https://www.webtoons.com/en/action/cape-of-spirits/list?title_no=1559;Action;528180;22100000;1
A Useless Villain;https://www.webtoons.com/en/action/a-useless-villain/list?title_no=2969;Action;406412;10200000;2
Noblesse;https://www.webtoons.com/en/action/noblesse/list?title_no=87;Action;1800000;428200000;2
The Steam Dragon Express;https://www.webtoons.com/en/fantasy/steam-dragon-express/list?title_no=1270;Fantasy;333972;32000000;2
Phantom Paradise;https://www.webtoons.com/en/fantasy/phantom-paradise/list?title_no=1250;Fantasy;632585;43700000;1
Happiness;https://www.webtoons.com/en/action/happiness/list?title_no=4120;Action;98231;2500000;3
Hardcore Leveling Warrior;https://www.webtoons.com/en/action/hardcore-leveling-warrior/list?title_no=1221;Action;1300000;227400000;1
Finding Wonderland;https://www.webtoons.com/en/fantasy/finding-wonderland/list?title_no=2704;Fantasy;282315;5700000;2
SAMADHI;https://www.webtoons.com/en/super-hero/samadhi/list?title_no=3049;Superhero;197692;4900000;2
Skye;https://www.webtoons.com/en/fantasy/skye/list?title_no=2234;Fantasy;187630;4000000;1
Hellper;https://www.webtoons.com/en/fantasy/hellper/list?title_no=185;Fantasy;183443;23700000;1
GOSU;https://www.webtoons.com/en/action/gosu/list?title_no=1099;Action;731721;93200000;2
Sword Interval;https://www.webtoons.com/en/supernatural/sword-interval/list?title_no=486;Supernatural;146642;23300000;1
Brothers Bond;https://www.webtoons.com/en/action/brothersbond/list?title_no=1458;Action;129514;2200000;2
Supersonic Girl;https://www.webtoons.com/en/super-hero/supersonic-girl/list?title_no=633;Superhero;215042;12500000;1
Flow;https://www.webtoons.com/en/fantasy/flow/list?title_no=101;Fantasy;715887;65200000;1
Dragnarok: Descendants;https://www.webtoons.com/en/fantasy/dragnarok-descendants/list?title_no=1433;Fantasy;220035;5600000;2
Pacific Rim: Amara;https://www.webtoons.com/en/sf/pacific-rim-amara/list?title_no=1327;Sci-fi;112194;1700000;2
microHUNTER;https://www.webtoons.com/en/action/microhunter/list?title_no=2320;Action;338116;20800000;2
DICE;https://www.webtoons.com/en/fantasy/dice/list?title_no=64;Fantasy;1300000;199100000;1
Nano List;https://www.webtoons.com/en/sf/nano-list/list?title_no=700;Sci-fi;598353;56100000;1
Crown of Feathers;https://www.webtoons.com/en/fantasy/crown-of-feathers/list?title_no=2126;Fantasy;303966;10100000;3
The Wendybird;https://www.webtoons.com/en/fantasy/the-wendybird/list?title_no=2546;Fantasy;167754;4400000;3
LESSA;https://www.webtoons.com/en/action/lessa/list?title_no=89;Action;216197;11700000;1
Bloodhounds;https://www.webtoons.com/en/action/bloodhounds/list?title_no=4000;Action;63589;1300000;1
SIDEKICKS;https://www.webtoons.com/en/super-hero/sidekicks/list?title_no=92;Superhero;209355;18500000;1
1000;https://www.webtoons.com/en/action/one-thousand/list?title_no=1217;Action;105490;1500000;2
Jackie Rose;https://www.webtoons.com/en/supernatural/jackie-rose/list?title_no=613;Supernatural;59617;3900000;1
Bloodless Wars;https://www.webtoons.com/en/sf/bloodless-wars/list?title_no=1622;Sci-fi;137883;4300000;1
LESSA 2 - The Crimson Knight;https://www.webtoons.com/en/action/lessa-2/list?title_no=507;Action;171400;15500000;1
Aphrodite IX;https://www.webtoons.com/en/sf/aphroditeix/list?title_no=1451;Sci-fi;120798;2300000;2
The Badguys;https://www.webtoons.com/en/super-hero/the-bad-guys/list?title_no=701;Superhero;103861;5800000;2
The Red Hook;https://www.webtoons.com/en/super-hero/the-red-hook/list?title_no=643;Superhero;33462;1100000;1
Shadow Pirates;https://www.webtoons.com/en/fantasy/shadow-pirates/list?title_no=1455;Fantasy;47144;625986;2
Pound;https://www.webtoons.com/en/action/pound/list?title_no=1496;Action;96855;3700000;2
The Purple Heart;https://www.webtoons.com/en/super-hero/the-purple-heart/list?title_no=723;Superhero;35608;926656;2
Ghost Bats;https://www.webtoons.com/en/sf/ghost-bats/list?title_no=2348;Sci-fi;59309;775622;1
Caster;https://www.webtoons.com/en/action/caster/list?title_no=1461;Action;49541;850024;2
